DATE,MSPS
1963-01-01,16800
1963-04-01,15800
1963-07-01,15900
1963-10-01,15800
1964-01-01,16500
1964-04-01,16800
1964-07-01,16800
1964-10-01,16700
1965-01-01,17400
1965-04-01,16400
1965-07-01,17700
1965-10-01,18100
1966-01-01,17800
1966-04-01,18800
1966-07-01,18200
1966-10-01,18900
1967-01-01,18900
1967-04-01,19400
1967-07-01,19400
1967-10-01,19600
1968-01-01,19800
1968-04-01,22000
1968-07-01,21700
1968-10-01,22400
1969-01-01,23100
1969-04-01,23300
1969-07-01,23000
1969-10-01,21100
1970-01-01,20000
1970-04-01,21100
1970-07-01,20400
1970-10-01,20000
1971-01-01,21300
1971-04-01,22700
1971-07-01,22900
1971-10-01,23200
1972-01-01,23900
1972-04-01,25200
1972-07-01,26600
1972-10-01,27500
1973-01-01,29100
1973-04-01,30900
1973-07-01,32200
1973-10-01,32100
1974-01-01,34800
1974-04-01,33600
1974-07-01,35100
1974-10-01,34900
1975-01-01,36700
1975-04-01,36800
1975-07-01,36500
1975-10-01,39000
1976-01-01,39800
1976-04-01,40400
1976-07-01,41400
1976-10-01,40000
1977-01-01,41200
1977-04-01,44300
1977-07-01,44600
1977-10-01,46100
1978-01-01,47700
1978-04-01,49900
1978-07-01,51300
1978-10-01,53000
1979-01-01,54300
1979-04-01,57400
1979-07-01,59700
1979-10-01,57300
1980-01-01,59000
1980-04-01,58700
1980-07-01,60400
1980-10-01,61200
1981-01-01,62300
1981-04-01,63500
1981-07-01,66000
1981-10-01,66100
1982-01-01,64400
1982-04-01,65700
1982-07-01,67300
1982-10-01,68100
1983-01-01,69200
1983-04-01,69300
1983-07-01,73200
1983-10-01,71900
1984-01-01,71900
1984-04-01,71900
1984-07-01,71100
1984-10-01,73000
1985-01-01,74800
1985-04-01,73600
1985-07-01,74300
1985-10-01,78300
1986-01-01,78400
1986-04-01,79800
1986-07-01,81900
1986-10-01,84400
1987-01-01,85800
1987-04-01,88000
1987-07-01,88900
1987-10-01,89800
1988-01-01,91000
1988-04-01,89300
1988-07-01,95800
1988-10-01,93000
1989-01-01,93000
1989-04-01,97500
1989-07-01,94900
1989-10-01,96500
1990-01-01,98900
1990-04-01,103000
1990-07-01,95900
1990-10-01,98000
1991-01-01,101300
1991-04-01,100900
1991-07-01,99700
1991-10-01,100000
1992-01-01,106500
1992-04-01,101000
1992-07-01,102000
1992-10-01,110000
1993-01-01,109000
1993-04-01,115500
1993-07-01,114000
1993-10-01,115000
1994-01-01,116200
1994-04-01,118500
1994-07-01,113700
1994-10-01,117900
1995-01-01,118000
1995-04-01,124500
1995-07-01,121000
1995-10-01,127000
1996-01-01,125500
1996-04-01,125000
1996-07-01,123900
1996-10-01,127900
1997-01-01,127100
1997-04-01,129900
1997-07-01,127000
1997-10-01,129000
1998-01-01,131000
1998-04-01,132300
1998-07-01,137300
1998-10-01,138500
1999-01-01,142500
1999-04-01,143000
1999-07-01,141100
1999-10-01,149600
2000-01-01,148000
2000-04-01,142500
2000-07-01,152300
2000-10-01,148400
2001-01-01,154700
2001-04-01,156100
2001-07-01,152800
2001-10-01,152100
2002-01-01,160900
2002-04-01,164000
2002-07-01,158200
2002-10-01,165400
2003-01-01,165800
2003-04-01,164600
2003-07-01,163400
2003-10-01,169400
2004-01-01,173800
2004-04-01,171400
2004-07-01,176700
2004-10-01,190900
2005-01-01,188600
2005-04-01,192000
2005-07-01,190000
2005-10-01,200000
2006-01-01,205900
2006-04-01,206700
2006-07-01,195100
2006-10-01,207400
2007-01-01,222900
2007-04-01,208300
2007-07-01,214900
2007-10-01,214900
2008-01-01,202200
2008-04-01,208100
2008-07-01,203300
2008-10-01,188700
2009-01-01,189300
2009-04-01,201000
2009-07-01,189700
2009-10-01,191800
2010-01-01,187900
2010-04-01,195200
2010-07-01,203900
2010-10-01,198500
2011-01-01,209800
2011-04-01,209900
2011-07-01,210300
2011-10-01,201200
2012-01-01,217300
2012-04-01,211700
2012-07-01,226200
2012-10-01,237500
2013-01-01,232400
2013-04-01,250200
2013-07-01,237800
2013-10-01,245100
2014-01-01,252000
2014-04-01,265400
2014-07-01,253200
2014-10-01,276400
2015-01-01,263900
2015-04-01,261800
2015-07-01,276100
2015-10-01,278700
2016-01-01,277400
2016-04-01,277100
2016-07-01,280200
2016-10-01,285900
2017-01-01,281400
2017-04-01,285400
2017-07-01,295300.0
2017-10-01,298500.0
2018-01-01,295800.0
2018-04-01,285300.0
2018-07-01,296100.0
2018-10-01,291600.0
2019-01-01,280000.0
2019-04-01,292400.0
2019-07-01,289900.0
2019-10-01,290900.0
2020-01-01,279900.0
2020-04-01,290600.0
2020-07-01,294600.0
2020-10-01,320000.0
2021-01-01,316800.0
